Landmarkcoord1_,Landmarkcoord2_,Landmarkcoord3_
36.2586,50.1772,44.593
16.6137,-23.5426,-2.70001
-16.1552,16.7658,-14.5332
-12.6885,11.7861,-34.662
-33.8103,-21.7201,-34.9675
-47.6179,62.5652,-37.1088
-31.5206,-14.3872,-34.2817
-46.9793,-56.0207,14.7797
-14.0434,2.42046,-14.5628
45.6143,-61.5248,11.4654
-32.7941,17.6838,25.6953
33.7487,-57.2679,-72.2498
37.6608,2.84846,-41.578
-18.2938,-0.0293895,8.25791
-5.51114,-3.5055,2.91681
60.3793,-10.1043,-8.38843
49.3426,54.1365,-55.2302
-29.7145,-27.966,17.4854
66.6797,-62.4167,-37.0755
18.026,-21.3769,16.4095
3.5482,47.4984,14.7912
37.1428,26.6034,-18.2396
40.4952,-54.9311,66.3841
69.7155,-38.6194,35.2276
-9.89638,15.4961,28.1884
-6.17932,31.8294,-43.1229
0.286837,0.456369,0.51891
57.4423,-5.33198,-21.6063
-1.40643,33.0289,-29.014
0.706403,2.92704,-2.19474
34.6366,-31.9076,-55.2128
42.9729,-17.488,-27.7216
12.327,-26.469,16.2135
-8.24855,14.0009,-6.93034
56.1165,49.9831,10.9157
30.2173,-16.7936,8.62591
28.2855,49.8259,-45.2059
-23.6331,56.7176,-4.71809
28.0007,46.2025,-36.4119
-16.5458,60.4824,60.7405
7.33826,0.640898,-3.35433
-28.1515,-77.114,-28.5581
18.9976,6.36873,-13.4132
-12.7938,-37.6402,-32.7957
46.5752,-33.177,-18.1804
-92.9273,23.2031,-15.8166
0.851323,-0.543582,0.80324
72.3606,-49.4463,-38.4983
-43.9801,12.8775,-30.1169
-7.53838,6.91094,3.034
35.0238,24.3274,-41.4088
7.11091,27.7608,-35.0471
-12.7283,24.2604,14.5825
11.5398,13.0721,5.43824
14.9909,44.2855,11.8373
9.59478,11.8801,-30.4441
-1.71354,3.6953,-19.7894
26.7475,-17.9316,-8.65174
8.14805,-5.26767,-1.40619
48.0012,28.8393,32.3425
-20.6322,-17.0695,0.510562
-20.3496,-20.7446,-14.3938
31.3024,89.7868,-30.734
-56.6181,-57.288,29.523
53.7968,28.4067,-65.1711
-12.6732,35.9041,-37.7474
2.59536,-18.0059,-57.8827
-1.55744,19.1234,21.2018
11.7398,9.41128,11.1341
11.8205,-2.03636,-20.213
1.14873,44.3235,64.4338
-1.81302,-0.837487,3.92783
36.353,26.6454,24.5276
-3.7439,12.0779,64.7363
1.51587,-1.58607,-0.475943
-25.4064,44.3794,9.94209
44.4306,27.7613,49.4149
54.3756,-17.4705,-0.913853
22.5413,4.89992,89.7818
-15.2037,-16.5651,2.69439
-4.23116,4.95048,-5.00109
25.7239,-0.37666,-54.7255
-33.1617,-32.3597,22.0812
-59.9992,44.2694,-22.2177
-37.585,-11.9198,24.2913
16.1646,23.742,32.0878
-1.25388,18.0689,66.005
-32.8401,-33.3192,-21.0375
32.2365,27.3917,-20.6261
13.2207,9.40312,12.9978
30.0445,33.2593,25.9513
-54.1903,-51.9282,-17.6945
18.2873,-6.93017,-28.9317
2.73719,-3.14981,28.3023
16.3819,73.3861,-27.4882
-22.3258,23.6013,47.3399
34.9085,43.2062,-65.2021
9.60738,-19.7868,18.8458
-14.8149,-2.54443,-5.46325
-18.8711,33.412,-42.1641
43.8875,-29.7334,27.6906
-17.7552,-11.9989,-2.5095
7.86505,74.5434,-25.7288
3.84538,-26.2981,-48.696
3.8361,-22.009,15.2931
-46.804,4.30618,-27.4532
-56.2431,58.0062,-44.4573
-15.1223,-65.0861,-53.713
8.60359,-30.9423,29.5336
-18.8703,29.358,-9.45724
50.2769,-34.1785,-36.325
7.16792,-20.3747,-40.5304
57.7832,-18.4541,-35.3794
-27.8667,31.4025,-64.3975
0.228287,-0.218034,-1.29799
66.2223,55.8306,19.0298
2.86969,-20.6629,-20.3582
-25.4916,-53.5073,-23.1657
-34.4451,-63.1402,-43.876
7.2973,11.3716,18.9095
-7.37084,14.2833,-19.3964
56.1408,41.9879,-38.115
5.9018,-47.5765,-24.4958
-37.6059,-26.6863,54.0371
-0.43913,-0.348487,-0.411418
-42.7602,0.447366,44.7218
-5.44435,-47.1973,9.85101
24.934,3.86821,-17.7746
47.0573,-20.2633,30.9203
16.1897,0.942,26.13
-2.23521,-10.1379,-3.0526
6.56243,2.66713,10.0113
-14.1638,8.69197,10.6688
-17.7127,-13.97,-30.7444
-52.9835,-40.559,-16.8484
-35.9264,22.0336,-31.3542
-11.3613,33.8612,-44.557
45.4526,63.9373,54.0942
12.9866,4.45638,1.74004
2.21744,12.928,-31.0047
-12.1809,7.26768,-2.42588
-3.29584,4.68408,5.08407
-1.98789,7.32971,11.8542
57.9367,-45.9166,-55.701
-12.0356,-9.25228,-87.1884
-41.7176,-27.4959,27.6624
16.5728,-32.8674,15.7298
-23.81,-59.6284,12.8462
8.8444,10.5922,8.45608
-69.5603,-2.60444,57.3655
20.0652,-19.5003,-22.5974
12.1165,38.3093,33.9915
-3.16618,19.2955,11.0928
22.1867,43.1882,-36.5344
-39.6684,-6.18851,-43.7542
-26.5306,-42.6791,-71.6283
40.1299,12.4058,-9.44848
46.1537,-41.9769,34.0993
-3.56286,-12.1243,5.77018
-14.1515,-40.0771,-49.1318
-73.2182,-0.0321201,-10.5408
13.4088,-19.2327,-20.5412
31.9034,36.7881,42.3878
6.36216,68.8417,-12.9233
-42.842,-49.2719,-49.2226
7.32817,63.0364,-20.7196
49.5837,17.0829,25.0827
-43.2869,37.4365,-21.2542
-3.02174,-1.61207,-5.64192
53.5575,4.3942,22.705
19.7098,3.05093,22.8426
0.0287048,-13.1756,-6.75296
-39.199,-62.0049,-53.31
13.0002,12.8288,7.67131
50.4648,34.3092,26.7257
0.939416,-35.5917,-18.4481
-0.757457,0.577454,0.34918
-62.9976,63.9226,-26.8211
-5.41431,-2.56655,-10.9313
22.8358,-18.1231,10.4347
49.4598,-29.1962,-62.0315
16.2967,5.86488,-9.80899
-8.66846,54.986,-78.7013
-6.1768,-78.7226,-35.6806
-2.2746,2.93725,2.05916
10.2814,58.9484,-67.3762
-61.4273,-32.4563,-54.4099
3.05017,-1.20244,0.754122
52.5915,-44.0986,-66.2379
-73.1106,-35.7589,-55.0357
-23.5673,-5.09182,-25.4869
49.1041,45.4837,-6.82512
-22.6206,-30.3582,22.0756
10.8768,-13.0651,-9.06349
-34.6115,63.644,-51.7909
-10.7663,34.7006,-38.4232
-34.7075,-11.1377,-47.7918
-58.1605,25.0797,67.9712
-24.6093,24.1091,-13.8486
-13.5993,-3.34536,20.399
17.5065,-12.9166,-7.45483
-11.6223,-10.3882,-7.55548
63.7436,-1.35084,43.0253
31.8869,-61.8758,44.5007
30.0058,-40.8855,17.5077
5.94812,-14.934,-3.96152
26.2493,19.1563,-48.6857
75.3998,-26.3717,54.3081
-11.9395,-8.06594,-0.866204
-13.2917,19.1331,-39.9371
21.062,-1.63437,16.9397
39.5999,5.11614,20.4759
12.8294,-4.73877,36.0964
-78.0936,53.9549,11.6035
-36.9106,29.7884,13.3361
-2.82072,-32.6924,43.2313
-84.9419,-35.0701,-21.2581
12.1608,-1.7529,-16.6684
18.5427,8.5558,24.8459
-22.8047,-12.3249,16.7746
41.4675,49.2059,40.4775
20.7029,11.6204,19.0051
12.7024,-17.153,-15.2417
-33.6616,-7.44175,9.58092
-0.538964,-0.00678779,9.78509
-61.4107,42.5865,-6.80949
-11,7.2485,9.44956
-52.1642,-21.583,44.3371
-42.7684,5.14545,-80.9348
3.74904,-31.9804,18.0417
-6.70561,41.0467,29.6894
1.40615,-1.39315,-1.58516
-55.8903,56.4071,-40.5845
-28.9249,-21.689,-54.5419
13.3575,-31.3412,-34.2307
-21.7877,-54.6039,24.5288
15.3936,8.97218,-15.7774
-43.8518,-66.4507,27.7067
-40.5951,-3.49699,73.7899
-11.807,-50.6878,-66.3579
-7.73939,-0.386672,2.89593
-47.9461,-34.6618,-20.2895
-24.9364,-65.3473,-57.539
3.12602,3.2404,-6.76617
11.9811,16.8913,13.328
-2.974,-13.3119,6.67491
-34.4564,1.60624,-52.8183
-0.160942,-0.314928,-0.390522
65.2564,43.5601,-29.6766
21.7182,-57.1581,13.2502
-5.35106,3.22835,1.4989
-38.1074,-6.62541,34.735
16.5525,33.5342,-78.9479
-1.00068,-2.04297,-0.0519966
61.878,54.6135,48.3143
3.61426,17.0926,25.0088
23.8414,16.938,11.4993
71.4102,21.6888,56.9271
-68.7608,-41.3566,35.8682
-75.6753,-49.2314,-15.7225
-23.4286,-22.9376,34.5996
20.4361,31.2375,-8.55687
-75.1801,-2.13001,-35.8268
11.884,-8.52363,-65.5211
-16.8811,6.44847,-0.0674543
1.34492,2.48291,2.0616
0.860469,0.137882,0.298046
-26.1398,96.0179,3.32379
-30.9656,-37.5391,29.7381
35.6537,9.83637,-17.2477
-31.3613,6.80411,33.9852
27.8227,-25.1426,-14.9813
13.7448,34.2791,56.8117
-0.0162277,-3.19506,2.31363
9.81735,9.61485,4.8879
74.8956,12.1629,52.8715
-1.33144,9.03686,24.1336
-2.74085,-5.4398,0.208062
-34.3536,-45.1908,46.957
23.8987,10.12,-10.7176
0.541763,0.11724,-0.160718
