x-value, y-value
3.03828,1.10571
3.03928,1.106
3.04028,1.1063
3.04128,1.1066
3.04228,1.10689
3.04328,1.10719
3.04428,1.10749
3.04528,1.10778
3.04628,1.10808
3.04728,1.10838
3.04828,1.10867
3.04928,1.10897
3.05028,1.10926
3.05128,1.10956
3.05228,1.10986
3.05328,1.11015
3.05428,1.11045
3.05528,1.11074
3.05628,1.11103
3.05728,1.11133
3.05828,1.11162
3.05928,1.11192
3.06028,1.11221
3.06128,1.11251
3.06228,1.1128
3.06328,1.11309
3.06428,1.11339
3.06528,1.11368
3.06628,1.11397
3.06728,1.11426
3.06828,1.11456
3.06928,1.11485
3.07028,1.11514
3.07128,1.11543
3.07228,1.11572
3.07328,1.11602
3.07428,1.11631
3.07528,1.1166
3.07628,1.11689
3.07728,1.11718
3.07828,1.11747
3.07928,1.11776
3.08028,1.11805
3.08128,1.11834
3.08228,1.11863
3.08328,1.11892
3.08428,1.11921
3.08528,1.1195
3.08628,1.11979
3.08728,1.12008
3.08828,1.12037
3.08928,1.12066
3.09028,1.12095
3.09128,1.12124
3.09228,1.12153
3.09328,1.12181
3.09428,1.1221
3.09528,1.12239
3.09628,1.12268
3.09728,1.12296
3.09828,1.12325
3.09928,1.12354
3.10028,1.12383
3.10128,1.12411
3.10228,1.1244
3.10328,1.12469
3.10428,1.12497
3.10528,1.12526
3.10628,1.12555
3.10728,1.12583
3.10828,1.12612
3.10928,1.1264
3.11028,1.12669
3.11128,1.12697
3.11228,1.12726
3.11328,1.12754
3.11428,1.12783
3.11528,1.12811
3.11628,1.1284
3.11728,1.12868
3.11828,1.12897
3.11928,1.12925
3.12028,1.12953
3.12128,1.12982
3.12228,1.1301
3.12328,1.13038
3.12428,1.13067
3.12528,1.13095
3.12628,1.13123
3.12728,1.13152
3.12828,1.1318
3.12928,1.13208
3.13028,1.13236
3.13128,1.13265
3.13228,1.13293
3.13328,1.13321
3.13428,1.13349
3.13528,1.13377
3.13628,1.13405
3.13728,1.13433
3.13828,1.13461
3.13928,1.1349
3.14028,1.13518
3.14128,1.13546
3.14228,1.13574
3.14328,1.13602
3.14428,1.1363
3.14528,1.13658
3.14628,1.13686
3.14728,1.13714
3.14828,1.13742
3.14928,1.13769
3.15028,1.13797
3.15128,1.13825
3.15228,1.13853
3.15328,1.13881
3.15428,1.13909
3.15528,1.13937
3.15628,1.13964
3.15728,1.13992
3.15828,1.1402
3.15928,1.14048
3.16028,1.14076
3.16128,1.14103
3.16228,1.14131
3.16328,1.14159
3.16428,1.14186
3.16528,1.14214
3.16628,1.14242
3.16728,1.14269
3.16828,1.14297
3.16928,1.14325
3.17028,1.14352
3.17128,1.1438
3.17228,1.14407
3.17328,1.14435
3.17428,1.14462
3.17528,1.1449
3.17628,1.14517
3.17728,1.14545
3.17828,1.14572
3.17928,1.146
3.18028,1.14627
3.18128,1.14655
3.18228,1.14682
3.18328,1.14709
3.18428,1.14737
3.18528,1.14764
3.18628,1.14792
