x-value, y-value
3.03828,1.10572
3.03928,1.10602
3.04028,1.10632
3.04128,1.10662
3.04228,1.10691
3.04328,1.10721
3.04428,1.10751
3.04528,1.1078
3.04628,1.1081
3.04728,1.1084
3.04828,1.10869
3.04928,1.10899
3.05028,1.10928
3.05128,1.10958
3.05228,1.10987
3.05328,1.11017
3.05428,1.11046
3.05528,1.11076
3.05628,1.11105
3.05728,1.11135
3.05828,1.11164
3.05928,1.11194
3.06028,1.11223
3.06128,1.11252
3.06228,1.11282
3.06328,1.11311
3.06428,1.1134
3.06528,1.1137
3.06628,1.11399
3.06728,1.11428
3.06828,1.11458
3.06928,1.11487
3.07028,1.11516
3.07128,1.11545
3.07228,1.11574
3.07328,1.11604
3.07428,1.11633
3.07528,1.11662
3.07628,1.11691
3.07728,1.1172
3.07828,1.11749
3.07928,1.11778
3.08028,1.11807
3.08128,1.11836
3.08228,1.11865
3.08328,1.11894
3.08428,1.11923
3.08528,1.11952
3.08628,1.11981
3.08728,1.1201
3.08828,1.12039
3.08928,1.12068
3.09028,1.12097
3.09128,1.12126
3.09228,1.12154
3.09328,1.12183
3.09428,1.12212
3.09528,1.12241
3.09628,1.1227
3.09728,1.12298
3.09828,1.12327
3.09928,1.12356
3.10028,1.12385
3.10128,1.12413
3.10228,1.12442
3.10328,1.12471
3.10428,1.12499
3.10528,1.12528
3.10628,1.12557
3.10728,1.12585
3.10828,1.12614
3.10928,1.12642
3.11028,1.12671
3.11128,1.12699
3.11228,1.12728
3.11328,1.12756
3.11428,1.12785
3.11528,1.12813
3.11628,1.12842
3.11728,1.1287
3.11828,1.12899
3.11928,1.12927
3.12028,1.12955
3.12128,1.12984
3.12228,1.13012
3.12328,1.13041
3.12428,1.13069
3.12528,1.13097
3.12628,1.13125
3.12728,1.13154
3.12828,1.13182
3.12928,1.1321
3.13028,1.13238
3.13128,1.13267
3.13228,1.13295
3.13328,1.13323
3.13428,1.13351
3.13528,1.13379
3.13628,1.13407
3.13728,1.13436
3.13828,1.13464
3.13928,1.13492
3.14028,1.1352
3.14128,1.13548
3.14228,1.13576
3.14328,1.13604
3.14428,1.13632
3.14528,1.1366
3.14628,1.13688
3.14728,1.13716
3.14828,1.13744
3.14928,1.13772
3.15028,1.138
3.15128,1.13827
3.15228,1.13855
3.15328,1.13883
3.15428,1.13911
3.15528,1.13939
3.15628,1.13967
3.15728,1.13994
3.15828,1.14022
3.15928,1.1405
3.16028,1.14078
3.16128,1.14106
3.16228,1.14133
3.16328,1.14161
3.16428,1.14189
3.16528,1.14216
3.16628,1.14244
3.16728,1.14272
3.16828,1.14299
3.16928,1.14327
3.17028,1.14354
3.17128,1.14382
3.17228,1.1441
3.17328,1.14437
3.17428,1.14465
3.17528,1.14492
3.17628,1.1452
3.17728,1.14547
3.17828,1.14575
3.17928,1.14602
3.18028,1.1463
3.18128,1.14657
3.18228,1.14684
3.18328,1.14712
3.18428,1.14739
3.18528,1.14767
3.18628,1.14794
3.18728,1.14821
3.18828,1.14849
3.18928,1.14876
3.19028,1.14903
3.19128,1.1493
3.19228,1.14958
3.19328,1.14985
3.19428,1.15012
3.19528,1.15039
3.19628,1.15067
3.19728,1.15094
3.19828,1.15121
3.19928,1.15148
3.20028,1.15175
3.20128,1.15202
3.20228,1.15229
3.20328,1.15257
3.20428,1.15284
3.20528,1.15311
3.20628,1.15338
3.20728,1.15365
3.20828,1.15392
3.20928,1.15419
3.21028,1.15446
3.21128,1.15473
3.21228,1.155
3.21328,1.15527
3.21428,1.15554
3.21528,1.15581
3.21628,1.15607
3.21728,1.15634
3.21828,1.15661
3.21928,1.15688
3.22028,1.15715
3.22128,1.15742
